KGISWardID,KGISWardCo,LGD_WardCo,KGISWardNo,Ward Name,KGISTownCo,xcoord,ycoord
5038,2003081,1302753,81,Horamavu,2003,77.65149995,13.05352831
5039,2003082,1302754,82,Babusab Palya,2003,77.65046817,13.02560663
5042,2003083,1302755,83,Kalkere,2003,77.67341487,13.03422476
5050,2003087,1302759,87,Medahalli,2003,77.70320898,13.02392119
5043,2003084,1302756,84,Ramamurthy Nagara,2003,77.67077667,13.01345812
5046,2003085,1302757,85,Vijinapura,2003,77.67029392,13.00497432
5047,2003086,1302758,86,K R Puram,2003,77.69351136,13.01307131
5051,2003088,1302760,88,Basavanapura,2003,77.71565504,13.01332713
5054,2003089,1302761,89,Devasandra,2003,77.69178628,13.00061637
5058,2003091,1302763,91,A Narayanapura,2003,77.670739,12.99371641
5055,2003090,1302762,90,Mahadevapura,2003,77.68418358,12.9873814
5059,2003092,1302764,92,Vijnana Nagar,2003,77.67482274,12.96957047
6965,2003227,,227,Begur,2003,77.63799843,12.87115575
6966,2003226,,226,Kalena Agrahara,2003,77.60768159,12.85957047
6967,2003217,,217,Uttarahalli,2003,77.54665062,12.90980989
6969,2003202,,202,Ganesh Mandir ward,2003,77.56355229,12.92438329
6970,2003203,,203,Banashankari Temple ward,2003,77.57039631,12.91295591
5167,2003146,1302818,146,Dr. Raj Kumar Ward,2003,77.54728564,12.97864919
5170,2003147,1302819,147,Agrahara Dasarahalli,2003,77.53990034,12.98152171
5174,2003149,1302821,149,Kaveripura,2003,77.52431142,12.98131898
5171,2003148,1302820,148,Govindaraja Nagar,2003,77.5336748,12.97735431
5175,2003150,1302822,150,Marenahalli,2003,77.53086184,12.97247579
5178,2003151,1302823,151,Maruthi Mandir ward,2003,77.52833972,12.96662327
5179,2003152,1302824,152,Mudalapalya,2003,77.52203193,12.97244044
5182,2003153,1302825,153,Nagarabhavi,2003,77.51767556,12.95946481
5183,2003154,1302826,154,Chandra Layout,2003,77.52037576,12.95017163
5186,2003155,1302827,155,Nayandahalli,2003,77.52143121,12.94298872
4914,2003019,1303157,19,Defence Colony,2003,77.50525928,13.05053601
4946,2003035,1302707,35,Hemmigepura,2003,77.51177952,12.88045248
5239,2003182,1302854,182,Shanthi Nagar,2003,77.59933097,12.95559052
5242,2003183,1302855,183,Neelasandra,2003,77.60834036,12.95756483
5243,2003184,1302856,184,Vannarapete,2003,77.61830233,12.95626183
4934,2003029,1302701,29,Vidyamanyanagar,2003,77.48542696,13.00143289
